disease, disease_url, summary
Dwarfism,https://medlineplus.gov/dwarfism.html,People with dwarfism have short stature. This means that their height is under 4' 10" as an adult. They are usually of normal intelligence. Dwarfism most often does happen in families where both parents are of average height.More than 300 different conditions can cause dwarfism. Achondroplasia is the most common type of dwarfism. Achondroplasia is a genetic condition that affects about 1 in 15;000 to 1 in 40;000 people. It makes your arms and legs short in comparison to your head and trunk. You may also have a larger head and weak muscle tone. Other genetic conditions; kidney disease; and problems with metabolism or hormones can also cause dwarfism.The conditions that cause dwarfism can also cause other health problems. Most of them are treatable. It is important to have regular checkups throughout your life.  With proper medical care; most people with dwarfism have active lives and live as long as other people.
GERD,https://medlineplus.gov/gerd.html,Your esophagus is the tube that carries food from your mouth to your stomach. Gastroesophageal reflux disease (GERD) happens when a muscle at the end of your esophagus does not close properly. This allows stomach contents to leak back; or reflux; into the esophagus and irritate it. You may feel a burning in the chest or throat called heartburn.  Sometimes; you can taste stomach fluid in the back of the mouth.  If you have these symptoms more than twice a week; you may have GERD. You can also have GERD without having heartburn. Your symptoms could include a dry cough; asthma symptoms; or trouble swallowing.Anyone; including infants and children; can have GERD.  If not treated; it can lead to more serious health problems. In some cases; you might need medicines or surgery.  However; many people can improve their symptoms byAvoiding alcohol and spicy; fatty or acidic foods that trigger heartburnEating smaller mealsNot eating close to bedtime Losing weight if needed Wearing loose-fitting clothesNIH: National Institute of Diabetes and Digestive and Kidney Diseases
Heartburn,https://medlineplus.gov/heartburn.html,Heartburn is a painful burning feeling in your chest or throat. It happens when stomach acid backs up into your esophagus; the tube that carries food from your mouth to your stomach.If you have heartburn more than twice a week; you may have GERD. But you can have GERD without having heartburn.Pregnancy; certain foods; alcohol; and some medications can bring on heartburn. Treating heartburn is important because over time reflux can damage the esophagus.Over-the-counter medicines may help.  If the heartburn continues; you may need prescription medicines or surgery. If you have other symptoms such as crushing chest pain; it could be a heart attack. Get help immediately.
Knee Injuries and Disorders,https://medlineplus.gov/kneeinjuriesanddisorders.html,Your knee joint is made up of bone; cartilage; ligaments and fluid. Muscles and tendons help the knee joint move. When any of these structures is hurt or diseased; you have knee problems. Knee problems can cause pain and difficulty walking.Knee problems are very common; and they occur in people of all ages. Knee problems can interfere with many things; from participation in sports to simply getting up from a chair and walking. This can have a big impact on your life.The most common disease affecting the knee is osteoarthritis. The cartilage in the knee gradually wears away; causing pain and swelling.Injuries to ligaments and tendons also cause knee problems. A common injury is to the anterior cruciate ligament (ACL). You usually injure your ACL by a sudden twisting motion. ACL and other knee injuries are common sports injuries.Treatment of knee problems depends on the cause. In some cases your doctor may recommend knee replacement.NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases
Acne,https://medlineplus.gov/acne.html,Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face; neck; back; chest; and shoulders. Anyone can get acne; but it is common in teenagers and young adults. It is not serious; but it can cause scars.No one knows exactly what causes acne. Hormone changes; such as those during the teenage years and pregnancy; probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed; but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however; blackheads and pimples are not caused by dirt. Stress doesn't cause acne; but stress can make it worse.If you have acneClean your skin gently Try not to touch your skin Avoid the sun Treatments for acne include medicines and creams.NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases
Rosacea,https://medlineplus.gov/rosacea.html,Rosacea is a long-term disease that affects your skin and sometimes your eyes. It causes redness and pimples. Rosacea is most common in women and people with fair skin. It most often affects middle-aged and older adults.In most cases; rosacea only affects the face. Symptoms can includeFrequent redness of the face; or flushing Small; red lines under the skinAcneA swollen noseThick skin; usually on the forehead; chin; and cheeks Red; dry; itchy eyes and sometimes vision problems No one knows what causes rosacea. You may be more likely to have it if you blush a lot or if rosacea runs in your family. Rosacea is not dangerous. There is no cure; but treatments can help. They include medicines and sometimes surgery.NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases
Acoustic Neuroma,https://medlineplus.gov/acousticneuroma.html,An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows; it presses against the hearing and balance nerves. At first; you may have no symptoms or mild symptoms. They can include Loss of hearing on one side  Ringing in ears Dizziness and balance problemsThe tumor can also eventually cause numbness or paralysis of the face. If it grows large enough; it can press against the brain; becoming life-threatening.Acoustic neuroma can be difficult to diagnose; because the symptoms are similar to those of middle ear problems.  Ear exams; hearing tests; and scans can show if you have it.If the tumor stays small; you may only need to have it checked regularly.  If you do need treatment; surgery and radiation are options.If the tumors affect both hearing nerves; it is often because of a genetic disorder called neurofibromatosis.NIH: National Institute on Deafness and Communication Disorders
HIV/AIDS,https://medlineplus.gov/hivaids.html,HIV stands for human immunodeficiency virus. It harms your immune system by destroying the white blood cells that fight infection. This puts you at risk for serious infections and certain cancers. AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. Not everyone with HIV develops AIDS.HIV most often spreads through unprotected sex with an infected person. It may also spread by sharing drug needles or through contact with the blood of an infected person. Women can give it to their babies during pregnancy or childbirth. The first signs of HIV infection may be swollen glands and flu-like symptoms. These may come and go within two to four weeks. Severe symptoms may not appear until months or years later.A blood test can tell if you have HIV infection. Your health care provider can do the test; or you can use a home testing kit. Or to find free testing sites; call the national referral hotline at 1-800-CDC-INFO (1-800-232-4636 in English and en espaol; 1-888-232-6348 - TTY). There is no cure; but there are many medicines that fight HIV infection and lower the risk of infecting others. People who get early treatment can live with the disease for a long time.
Growth Disorders,https://medlineplus.gov/growthdisorders.html,Does your child seem much shorter - or much taller - than other kids his or her age? It could be normal. Some children may be small for their age but still be developing normally. Some children are short or tall because their parents are.But some children have growth disorders.  Growth disorders are problems that prevent children from developing normal height; weight; sexual maturity or other features.Very slow or very fast growth can sometimes signal a gland problem or disease.The pituitary gland makes growth hormone; which stimulates the growth of bone and other tissues. Children who have too little of it may be very short. Treatment with growth hormone can stimulate growth.People can also have too much growth hormone.  Usually the cause is a pituitary gland tumor; which is not cancer.  Too much growth hormone can cause gigantism in children; where their bones and their body grow too much.  In adults; it can cause acromegaly; which makes the hands; feet and face larger than normal. Possible treatments include surgery to remove the tumor; medicines; and radiation therapy.
Pituitary Disorders,https://medlineplus.gov/pituitarydisorders.html,Your pituitary gland is a pea-sized gland at the base of your brain. The pituitary is the "master control gland" - it makes hormones that affect growth and the functions of other glands in the body.  With pituitary disorders; you often have too much or too little of one of your hormones.  Injuries can cause pituitary disorders; but the most common cause is a pituitary tumor.
Skin Cancer,https://medlineplus.gov/skincancer.html,Skin cancer is the most common form of cancer in the United States. The two most common types are basal cell cancer and squamous cell cancer. They usually form on the head; face; neck; hands; and arms. Another type of skin cancer; melanoma; is more dangerous but less common. Anyone can get skin cancer; but it is more common in people who Spend a lot of time in the sun or have been sunburnedHave light-colored skin; hair and eyesHave a family member with skin cancerAre over age 50You should have your doctor check any suspicious skin markings and any changes in the way your skin looks. Treatment is more likely to work well when cancer is found early.  If not treated; some types of skin cancer cells can spread to other tissues and organs. Treatments include surgery; radiation therapy; chemotherapy; photodynamic therapy (PDT); and biologic therapy. PDT uses a drug and a type of laser light to kill cancer cells. Biologic therapy boosts your body's own ability to fight cancer.NIH: National Cancer Institute
Sun Exposure,https://medlineplus.gov/sunexposure.html,Ultraviolet (UV) rays are an invisible form of radiation. They can pass through your skin and damage your skin cells. Sunburns are a sign of skin damage. Suntans aren't healthy; either. They appear after the sun's rays have already killed some cells and damaged others. UV rays can cause skin damage during any season or at any temperature.  They can also cause eye problems; wrinkles; skin spots; and skin cancer.To protect yourself Stay out of the sun when it is strongest (between 10 a.m. and 2 p.m.)Use sunscreen with an SPF of 15 or higher Wear protective clothing Wear wraparound sunglasses that provide 100 percent UV ray protectionAvoid sunlamps and tanning beds Check your skin regularly for changes in the size; shape; color; or feel of birthmarks; moles; and spots. Such changes are a sign of skin cancer. Food and Drug Administration
Acupuncture,https://medlineplus.gov/acupuncture.html,Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin; to cause a change in the physical functions of the body.Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow.NIH: National Center for Complementary and Integrative Health
Acute Bronchitis,https://medlineplus.gov/acutebronchitis.html,Bronchitis is an inflammation of the bronchial tubes; the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath; wheezing; a low fever; and chest tightness. There are two main types of bronchitis: acute and chronic.Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone.The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough; or though physical contact (for example; on unwashed hands). Being exposed to tobacco smoke; air pollution; dusts; vapors; and fumes can also cause acute bronchitis. Less often; bacteria can also cause acute bronchitis.To diagnose acute bronchitis; your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests.Treatments include rest; fluids; and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial.NIH: National Heart; Lung; and Blood Institute
Acute Lymphocytic Leukemia,https://medlineplus.gov/acutelymphocyticleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute lymphocytic leukemia (ALL); also called acute lymphoblastic leukemia; there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.Possible risk factors for ALL include being male; being white; previous chemotherapy treatment; exposure to radiation; and for adults; being older than 70.Symptoms of ALL include:Weakness or feeling tiredFeverEasy bruising or bleedingBleeding under the skinShortness of breathWeight loss or loss of appetitePain in the bones or stomachPain or a feeling of fullness below the ribsPainless lumps in the neck; underarm; stomach; or groinTests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy; radiation therapy; stem cell transplants; and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission; you need additional treatment to make sure that it does not come back.NIH: National Cancer Institute
Acute Lymphocytic Leukemia,https://medlineplus.gov/acutelymphocyticleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute lymphocytic leukemia (ALL); also called acute lymphoblastic leukemia; there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.Possible risk factors for ALL include being male; being white; previous chemotherapy treatment; exposure to radiation; and for adults; being older than 70.Symptoms of ALL include:Weakness or feeling tiredFeverEasy bruising or bleedingBleeding under the skinShortness of breathWeight loss or loss of appetitePain in the bones or stomachPain or a feeling of fullness below the ribsPainless lumps in the neck; underarm; stomach; or groinTests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy; radiation therapy; stem cell transplants; and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission; you need additional treatment to make sure that it does not come back.NIH: National Cancer Institute
Acute Myeloid Leukemia,https://medlineplus.gov/acutemyeloidleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute myeloid leukemia (AML); there are too many of a specific type of white blood cell called a myeloblast.AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking; previous chemotherapy treatment; and exposure to radiation. Symptoms of AML include:FeverShortness of breathEasy bruising or bleedingBleeding under the skinWeakness or feeling tiredWeight loss or loss of appetiteTests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy; other drugs; radiation therapy; stem cell transplants; and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission; you need additional treatment to make sure that it does not come back.NIH: National Cancer Institute
Acute Myeloid Leukemia,https://medlineplus.gov/acutemyeloidleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute myeloid leukemia (AML); there are too many of a specific type of white blood cell called a myeloblast.AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking; previous chemotherapy treatment; and exposure to radiation. Symptoms of AML include:FeverShortness of breathEasy bruising or bleedingBleeding under the skinWeakness or feeling tiredWeight loss or loss of appetiteTests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy; other drugs; radiation therapy; stem cell transplants; and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission; you need additional treatment to make sure that it does not come back.NIH: National Cancer Institute
Pancreatitis,https://medlineplus.gov/pancreatitis.html,The pancreas is a large gland behind the stomach and close to the first part of the small intestine. It secretes digestive juices into the small intestine through a tube called the pancreatic duct. The pancreas also releases the hormones insulin and glucagon into the bloodstream.Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications.Acute pancreatitis occurs suddenly and usually goes away in a few days with treatment. It is often caused by gallstones.  Common symptoms are severe pain in the upper abdomen; nausea; and vomiting.   Treatment is usually a few days in the hospital for intravenous (IV) fluids; antibiotics; and medicines to relieve pain.Chronic pancreatitis does not heal or improve. It gets worse over time and leads to permanent damage. The most common cause is heavy alcohol use. Other causes include cystic fibrosis and other inherited disorders; high levels of calcium or fats in the blood; some medicines; and autoimmune conditions. Symptoms include nausea; vomiting; weight loss; and oily stools. Treatment may also be a few days in the hospital for intravenous (IV) fluids; medicines to relieve pain; and nutritional support. After that; you may need to start taking enzymes and eat a special diet.  It is also important to not smoke or drink alcohol.NIH: National Institute of Diabetes and Digestive and Kidney Diseases
