Acidemia, Isovaleric,https://www.webmd.com/children/acidemia-isovaleric,For a Complete Report,Last Updated: 8/7/2007Copyright 1988; 1989; 2002; 2007 National Organization for Rare Disorders; Inc.
Acidemia, Methylmalonic,https://www.webmd.com/children/acidemia-methylmalonic,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1988; 1990; 2000; 2002; 2007 National Organization for Rare Disorders; Inc.
Acidemia, Propionic,https://www.webmd.com/children/acidemia-propionic,For a Complete Report,Last Updated: 8/8/2007Copyright 1988; 1989; 2000; 2002; 2007 National Organization for Rare Disorders; Inc.
Acne,https://www.webmd.com/skin-problems-and-treatments/acne/default.htm,For a Complete Report,Acne may be mild (few; occasional pimples); moderate (inflammatory papules); or severe (nodules and cysts). Treatment depends on the severity of the condition.
Acquired Lipodystrophy,https://www.webmd.com/diabetes/acquired-lipodystrophy,Getting Support,Kumar; R. Indian Pediatrics; January 2000.
Acromegaly,https://www.webmd.com/a-to-z-guides/acromegaly-causes-symptoms-treatment,Getting Support,The Pituitary Society: Pituitary Gland Overview."
ADD/ADHD,https://www.webmd.com/add-adhd/default.htm,Getting Support,There are three groups of symptoms:
Adenosine Deaminase Severe Combined Immunodeficiency (ADA-SCID),https://www.webmd.com/a-to-z-guides/adenosine-deaminase-severe-combined-immunodeficiency,Getting Support,Immune Deficiency Foundation: ''About Primary Immunodeficiency'' and ''Severe Combined Immune Deficiency and Combined Immune Deficiency.''
ADHD in Children,https://www.webmd.com/add-adhd/childhood-adhd/default.htm,Getting Support,Symptoms of ADHD can differ from person to person; but there are three basic types of ADHD. Each one is identified by the symptoms of hyperactivity; impulsivity; and inattention. When the main symptoms are inattention; distraction; and disorganization; the type is usually called primarily inattentive. The symptoms of hyperactivity and possibly impulsiveness appear to diminish with age but are seen in the primarily hyperactive/impulsive type. The third type has some symptoms from each of the other two and is called the combined type.
Adult Vaccines,https://www.webmd.com/vaccines/default.htm,Getting Support,An ounce of prevention is really worth a pound of cure; says Evan Anderson; MD. Many adults are at risk of vaccine-preventable illnesses; and sometimes the damage is done after an infection has set in.
AFD,https://www.webmd.com/children/nager-syndrome-10442,For a Complete Report,Last Updated: 4/20/2008Copyright 1992; 1993; 2000; 2002 National Organization for Rare Disorders; Inc.
Afibrinogenemia, Congenital,https://www.webmd.com/children/afibrinogenemia-congenital,For a Complete Report,Last Updated: 8/8/2007Copyright 1993; 1999; 2007 National Organization for Rare Disorders; Inc.
AGA,https://www.webmd.com/children/aspartylglycosaminuria,For a Complete Report,Last Updated: 3/2/2008Copyright 1992; 2004 National Organization for Rare Disorders; Inc.
Agammaglobulinemias, Primary,https://www.webmd.com/children/agammaglobulinemias-primary,For a Complete Report,Last Updated: 6/16/2010Copyright 1986; 1987; 1988; 1989; 1993; 1996; 1998; 1999; 2001; 2007; 2009; 2010 National Organization for Rare Disorders; Inc.
Aganglionic Megacolon,https://www.webmd.com/children/tc/hirschsprungs-disease-topic-overview,How is it treated?,In a few cases; emergency surgery may be needed if a dangerous problem such as serious swelling of the small and large intestines (enterocolitis) occurs.
Agenesis of Commissura Magna Cerebri,https://www.webmd.com/children/agenesis-of-corpus-callosum,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1990; 2000; 2005; 2007 National Organization for Rare Disorders; Inc.
Agenesis of Corpus Callosum,https://www.webmd.com/children/agenesis-of-corpus-callosum,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1990; 2000; 2005; 2007 National Organization for Rare Disorders; Inc.
Age-Related Macular Degeneration,https://www.webmd.com/eye-health/macular-degeneration/age-related-macular-degeneration-overview,What Is the Outlook for People With Macular Degeneration?,National Institutes of Health web site: "NIH study provides clarity on supplements for protection against blinding eye disease."
Aggressive Mastocytosis,https://www.webmd.com/a-to-z-guides/mastocytosis-10871,For a Complete Report,Last Updated: 4/2/2014Copyright 1987; 1990; 1992; 1994; 1996; 1998; 1999; 2002; 2004; 2007; 2014 National Organization for Rare Disorders; Inc.
Aging,https://www.webmd.com/healthy-aging/default.htm,For a Complete Report,Some of the following changes may apply to you. Others may not. A healthy lifestyle may slow many of these normal effects of aging.
Aging, Sexuality and Physical Changes,https://www.webmd.com/healthy-aging/tc/sexuality-and-physical-changes-with-aging-topic-overview,For a Complete Report,In most healthy adults; pleasure and interest in sex do not diminish with age. Age alone is no reason to change the sexual practices that you have enjoyed throughout your life. But you may have to make a few minor adjustments to accommodate any physical limitations you may have or the effects of certain illnesses or medicines.
Agnogenic Myeloid Metaplasia (AMM),https://www.webmd.com/cancer/lymphoma/myelofibrosis-idiopathic,For a Complete Report,Last Updated: 5/8/2013Copyright 1986; 1987; 1988; 1989; 1996; 2000; 2002; 2008; 2011; 2013 National Organization for Rare Disorders; Inc.
Agnosia, Primary Visual,https://www.webmd.com/eye-health/agnosia-primary-visual,For a Complete Report,Last Updated: 3/8/2012Copyright 1994; 2003; 2008; 2009; 2012 National Organization for Rare Disorders; Inc.
Agnosis, Primary,https://www.webmd.com/eye-health/agnosia-primary-visual,For a Complete Report,Last Updated: 3/8/2012Copyright 1994; 2003; 2008; 2009; 2012 National Organization for Rare Disorders; Inc.
Agoraphobia,https://www.webmd.com/anxiety-panic/agoraphobia,Treatments,NHS: "Agoraphobia."
Agranulocytic Angina,https://www.webmd.com/children/agranulocytosis-acquired,For a Complete Report,Last Updated: 9/17/2007Copyright 1986; 1989; 1994; 2003; 2007 National Organization for Rare Disorders; Inc.
Agranulocytosis, Acquired,https://www.webmd.com/children/agranulocytosis-acquired,For a Complete Report,Last Updated: 9/17/2007Copyright 1986; 1989; 1994; 2003; 2007 National Organization for Rare Disorders; Inc.
AGU,https://www.webmd.com/children/aspartylglycosaminuria,For a Complete Report,Last Updated: 3/2/2008Copyright 1992; 2004 National Organization for Rare Disorders; Inc.
Agyria,https://www.webmd.com/brain/lissencephaly-10859,For a Complete Report,Last Updated: 9/6/2012Copyright 1987; 1990; 1993; 1996; 1998; 1999; 2002; 2009; 2012 National Organization for Rare Disorders; Inc.
AHC,https://www.webmd.com/children/alternating-hemiplegia-of-childhood,For a Complete Report,Last Updated: 1/25/2013Copyright 1995; 1996; 2002; 2004; 2013 National Organization for Rare Disorders; Inc.
AHD,https://www.webmd.com/children/alagille-syndrome-10844,For a Complete Report,Last Updated: 2/7/2013Copyright 1987; 1990; 1996; 1998; 1999; 2007; 2010; 2013 National Organization for Rare Disorders; Inc.
AHDS,https://www.webmd.com/children/allan-herndon-syndrome,For a Complete Report,Last Updated: 2/1/2010Copyright 1996; 2001; 2003; 2007; 2009; 2010 National Organization for Rare Disorders; Inc.
Ahumada-Del Castillo Syndrome,https://www.webmd.com/children/ahumada-del-castillo-syndrome,For a Complete Report,Last Updated: 7/1/2005Copyright 1986; 1989; 1994; 1997; 2005 National Organization for Rare Disorders; Inc.
aHUS,https://www.webmd.com/children/atypical-hemolytic-uremic-syndrome,For a Complete Report,Last Updated: 3/19/2012Copyright 2004; 2009; 2012 National Organization for Rare Disorders; Inc.
Aicardi Syndrome,https://www.webmd.com/children/aicardi-syndrome,For a Complete Report,Last Updated: 1/4/2012Copyright 1985; 1987; 1992; 1993; 1995; 1999; 2006; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
AIDS (Acquired Immunodeficiency Syndrome),https://www.webmd.com/hiv-aids/default.htm,For a Complete Report,Last Updated: 1/4/2012Copyright 1985; 1987; 1992; 1993; 1995; 1999; 2006; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
AIDS Dysmorphic Syndrome,https://www.webmd.com/hiv-aids/aids-dysmorphic-syndrome,For a Complete Report,Last Updated: 4/8/2009Copyright 1988; 1989; 2000; 2001; 2007; 2009 National Organization for Rare Disorders; Inc.
AILD,https://www.webmd.com/cancer/lymphoma/lymphadenopathy-angioimmunoblastic-with-dysproteinemia,For a Complete Report,Last Updated: 2/16/2011Copyright 1988; 1989; 2000; 2011 National Organization for Rare Disorders; Inc.
AIP,https://www.webmd.com/a-to-z-guides/porphyria-acute-intermittent,For a Complete Report,Last Updated: 5/1/2008Copyright 1987; 1988; 1990; 1991; 1992; 1993; 1994; 1996; 1997; 1999; 2001; 2005; 2006 National Organization for Rare Disorders; Inc.
Airsickness,https://www.webmd.com/cold-and-flu/ear-infection/tc/motion-sickness-topic-overview,On a ship or boat,Many people try other methods of preventing motion sickness; such as taking powdered ginger capsules or wearing acupressure wristbands. There isn't much evidence that they help; but it's safe to try them.
Akureyri Disease,https://www.webmd.com/brain/chronic-fatigue-syndromemyalgic-encephalomyelitis,For a Complete Report,Last Updated: 4/8/2009Copyright 1987; 1988; 1989; 2004; 2009 National Organization for Rare Disorders; Inc.
Alagille Syndrome,https://www.webmd.com/children/alagille-syndrome-10844,For a Complete Report,Last Updated: 2/7/2013Copyright 1987; 1990; 1996; 1998; 1999; 2007; 2010; 2013 National Organization for Rare Disorders; Inc.
Albers-Schonberg Disease,https://www.webmd.com/children/osteopetrosis,For a Complete Report,Last Updated: 5/4/2008Copyright 1987; 1990; 1995; 1996; 1997; 1998; 1999; 2000; 2002; 2005 National Organization for Rare Disorders; Inc.
Albinism,https://www.webmd.com/children/albinism-10894,For a Complete Report,Last Updated: 5/25/2012Copyright 1985; 1989; 1992; 1994; 1999; 2007; 2008; 2012 National Organization for Rare Disorders; Inc.
Albinismus,https://www.webmd.com/children/albinism-10894,For a Complete Report,Last Updated: 5/25/2012Copyright 1985; 1989; 1992; 1994; 1999; 2007; 2008; 2012 National Organization for Rare Disorders; Inc.
Albright Syndrome,https://www.webmd.com/children/mccune-albright-syndrome,For a Complete Report,Last Updated: 8/7/2007Copyright 1986; 1987; 1988; 1991; 1992; 1994; 1995; 1997; 1999; 2002; 2007 National Organization for Rare Disorders; Inc.
Alcock's Syndrome,https://www.webmd.com/a-to-z-guides/tc/pudendal-neuralgia-overview,For a Complete Report,For more information; talk to your doctor.
disease, disease_url, disease_header, disease_content
A1AT Deficiency,https://www.webmd.com/lung/alpha-1-antitrypsin-deficiency-rare,Get Support,National Jewish Health: "Alpha-1 Antitrypsin Deficiency: Inherited Liver Disease."
disease, disease_url, disease_header, disease_content
A1AT Deficiency,https://www.webmd.com/lung/alpha-1-antitrypsin-deficiency-rare,Get Support,National Jewish Health: "Alpha-1 Antitrypsin Deficiency: Inherited Liver Disease."
disease, disease_url, disease_header, disease_content
A1AT Deficiency,https://www.webmd.com/lung/alpha-1-antitrypsin-deficiency-rare,Get Support,National Jewish Health: "Alpha-1 Antitrypsin Deficiency: Inherited Liver Disease."
Aarskog Syndrome,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Aarskog-Scott Syndrome,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
AAS,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Aase Syndrome,https://www.webmd.com/children/aase-syndrome,For a Complete Report,Last Updated: 5/8/2008Copyright 1986; 1990; 1993; 2000; 2003 National Organization for Rare Disorders; Inc.
Aase-Smith Syndrome II,https://www.webmd.com/children/aase-syndrome,For a Complete Report,Last Updated: 5/8/2008Copyright 1986; 1990; 1993; 2000; 2003 National Organization for Rare Disorders; Inc.
AAT,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency,For a Complete Report,Last Updated: 5/12/2011Copyright 1985; 1988; 1990; 1991; 1993; 1996; 1997; 1998; 1999; 2001; 2002; 2005; 2008; 2011 National Organization for Rare Disorders; Inc.
AAT Deficiency,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency,For a Complete Report,Last Updated: 5/12/2011Copyright 1985; 1988; 1990; 1991; 1993; 1996; 1997; 1998; 1999; 2001; 2002; 2005; 2008; 2011 National Organization for Rare Disorders; Inc.
Abdominal Migraine,https://www.webmd.com/digestive-disorders/cyclic-vomiting-syndrome,For a Complete Report,Last Updated: 6/4/2012Copyright 1992; 1998; 1999; 2002; 2007; 2008; 2012 National Organization for Rare Disorders; Inc.
Abdominal Muscle Deficiency Syndrome,https://www.webmd.com/children/prune-belly-syndrome,For a Complete Report,Last Updated: 7/23/2007Copyright 1987; 1989; 1995; 1997; 1998; 2005; 2007 National Organization for Rare Disorders; Inc.
Abdominal Wall Defect,https://www.webmd.com/children/gastroschisis,For a Complete Report,Last Updated: 10/12/2007Copyright 1992; 1994; 2003; 2007 National Organization for Rare Disorders; Inc.
Abercrombie Syndrome,https://www.webmd.com/a-to-z-guides/amyloidosis-11083,For a Complete Report,Last Updated: 3/12/2013Copyright 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1995; 1996; 1997; 1998; 1999; 2001; 2002; 2003; 2006; 2007; 2010; 2013 National Organization for Rare Disorders; Inc.
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
disease, disease_url, disease_header, disease_content
A1AT Deficiency,https://www.webmd.com/lung/alpha-1-antitrypsin-deficiency-rare,Get Support,National Jewish Health: "Alpha-1 Antitrypsin Deficiency: Inherited Liver Disease."
Aarskog Syndrome,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Aarskog-Scott Syndrome,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
AAS,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Aase Syndrome,https://www.webmd.com/children/aase-syndrome,For a Complete Report,Last Updated: 5/8/2008Copyright 1986; 1990; 1993; 2000; 2003 National Organization for Rare Disorders; Inc.
Aase-Smith Syndrome II,https://www.webmd.com/children/aase-syndrome,For a Complete Report,Last Updated: 5/8/2008Copyright 1986; 1990; 1993; 2000; 2003 National Organization for Rare Disorders; Inc.
AAT,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency,For a Complete Report,Last Updated: 5/12/2011Copyright 1985; 1988; 1990; 1991; 1993; 1996; 1997; 1998; 1999; 2001; 2002; 2005; 2008; 2011 National Organization for Rare Disorders; Inc.
AAT Deficiency,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency,For a Complete Report,Last Updated: 5/12/2011Copyright 1985; 1988; 1990; 1991; 1993; 1996; 1997; 1998; 1999; 2001; 2002; 2005; 2008; 2011 National Organization for Rare Disorders; Inc.
Abdominal Migraine,https://www.webmd.com/digestive-disorders/cyclic-vomiting-syndrome,For a Complete Report,Last Updated: 6/4/2012Copyright 1992; 1998; 1999; 2002; 2007; 2008; 2012 National Organization for Rare Disorders; Inc.
